Nachname;Vorname;Strasse;Postleitzahl;Ort;Telefonnummer;Handynummer;Geburtsdatum;Email
Zürcher;Markus;Weidstrasse 1;8400;Thun;0441578655;0791860658;1978-12-10;Markus.Zürcher@gmail.com
Meier;Katja;Bergstrasse 49;9001;Luzern;0448670314;0796052063;1961-12-25;Katja.Meier@yahoo.com
Roth;Maria;Tannenweg 92;6003;Freiburg;0442187777;0792169562;1970-10-06;Maria.Roth@web.de
Keller;Michaela;Schulstrasse 79;9100;Lausanne;0447043886;0794286787;1972-12-28;Michaela.Keller@web.de
Sutter;Julia;Poststrasse 84;5000;St. Gallen;0442744320;0795781113;1951-02-18;Julia.Sutter@gmail.com
Roth;Sophie;Brunnenstrasse 30;1000;Uster;0448350147;0798696155;1974-02-27;Sophie.Roth@example.com
Roth;Lukas;Dorfstrasse 45;6300;Zug;0441277545;0798551915;1956-02-06;Lukas.Roth@web.de
Maurer;Daniel;Bergstrasse 80;9200;Zug;0446569362;0794688034;1984-09-30;Daniel.Maurer@gmail.com
Roth;Sandra;Wiesenweg 67;6300;Baden;0448145853;0794286787;1965-07-18;Sandra.Roth@web.de
Schmid;Daniel;Rosenweg 6;8400;Sitten;0446438065;0794602048;1960-08-17;Daniel.Schmid@web.de
Maurer;Sophie;Weidstrasse 75;8001;Lugano;0446958130;0794795028;1988-11-19;Sophie.Maurer@web.de
Fischer;Laura;Feldstrasse 43;6003;St. Gallen;0445768979;0796786311;1957-11-21;Laura.Fischer@web.de
Wenger;Simon;Tannenweg 64;7000;Lugano;0445192456;0793543120;1989-04-10;Simon.Wenger@yahoo.com
Brunner;Max;Dorfstrasse 51;8050;Luzern;0445259121;0794646901;1988-03-21;Max.Brunner@example.com
Baumann;Lukas;Tannenweg 12;9050;Schaffhausen;0441584559;0795668668;1988-10-18;Lukas.Baumann@yahoo.com
Meier;Sophie;Lindenweg 71;9300;Freiburg;0443352937;0798740150;1986-08-13;Sophie.Meier@mail.com
Gerber;Julia;Dorfstrasse 66;7000;Solothurn;0441814027;0799535881;1964-05-15;Julia.Gerber@gmail.com
Wenger;Anna;Gartenweg 65;8304;Zug;0445198625;0794012905;1977-08-28;Anna.Wenger@mail.com
Sutter;Daniel;Weidstrasse 53;9400;Chur;0442976598;0795668668;1957-12-29;Daniel.Sutter@web.de
Weber;Lena;Alpenblick 78;9000;Baden;0443804554;0792915444;1983-06-07;Lena.Weber@mail.com
Gerber;Max;Bergstrasse 52;9400;Genf;0449923823;0793954902;1956-07-26;Max.Gerber@yahoo.com
Zürcher;Daniel;Wiesenweg 13;8304;Basel;0441353442;0791129673;1970-12-25;Daniel.Zürcher@mail.com
Schmid;Lena;Gartenweg 36;9100;Freiburg;0446958130;0792169562;1995-04-12;Lena.Schmid@yahoo.com
Meier;Peter;Gartenweg 34;9100;Biel;0442059596;0793741172;1967-06-15;Peter.Meier@example.com
Huber;Simon;Gartenweg 31;5000;Biel;0446533396;0791310176;1992-02-01;Simon.Huber@web.de
Steiner;Felix;Feldstrasse 7;9001;Lugano;0446062912;0792169562;1997-01-05;Felix.Steiner@mail.com
Huber;Anna;Ringstrasse 74;9000;Schaffhausen;0448094381;0797670330;1998-09-22;Anna.Huber@yahoo.com
Müller;Peter;Rosenweg 39;9000;Lugano;0443824648;0793741172;1972-12-07;Peter.Müller@web.de
Gerber;Peter;Rosenweg 54;8500;Neuenburg;0448482574;0797977495;1985-12-28;Peter.Gerber@yahoo.com
Lehmann;Sandra;Talstrasse 60;5000;Bern;0447704715;0793741172;1994-05-24;Sandra.Lehmann@yahoo.com
Maurer;Kevin;Weidstrasse 93;9100;Lugano;0443352937;0793954902;1973-04-24;Kevin.Maurer@gmail.com
Meier;Sophie;Talstrasse 54;9100;Uster;0448350147;0796530765;1973-06-03;Sophie.Meier@mail.com
Marti;Anna;Dorfstrasse 17;9050;Lugano;0448030590;0794686845;1983-09-30;Anna.Marti@gmail.com
Kunz;Julia;Lindenweg 56;8050;Winterthur;0441277545;0796512196;1971-09-19;Julia.Kunz@gmail.com
Sutter;Lukas;Seestrasse 5;8050;Chur;0447965858;0793571752;1963-02-07;Lukas.Sutter@gmail.com
Müller;David;Dorfstrasse 80;1000;Thun;0443403090;0798188691;1969-10-17;David.Müller@example.com
Huber;Maria;Dorfstrasse 45;9300;Bern;0442059596;0791556601;1976-10-08;Maria.Huber@mail.com
Brunner;Sandra;Hauptstrasse 66;4001;Neuenburg;0444446643;0793543120;1951-07-31;Sandra.Brunner@mail.com
Maurer;David;Gartenweg 54;7000;Zug;0442376115;0794549941;1990-04-03;David.Maurer@example.com
Gerber;Felix;Seestrasse 71;3000;Thun;0444747021;0791310176;1990-09-01;Felix.Gerber@yahoo.com
Fischer;Sophie;Lindenweg 8;8500;St. Gallen;0447657653;0792225391;2000-07-27;Sophie.Fischer@yahoo.com
Steiner;Maria;Lindenweg 7;8001;Biel;0442066085;0797765114;1965-02-01;Maria.Steiner@yahoo.com
Baumann;Maria;Ringstrasse 55;7000;Genf;0443804554;0792141573;1971-12-11;Maria.Baumann@yahoo.com
Zürcher;Lukas;Brunnenstrasse 59;5000;Sitten;0444633613;0791860658;1973-05-21;Lukas.Zürcher@yahoo.com
Wenger;Laura;Weidstrasse 31;8304;Solothurn;0445349037;0796530765;1997-08-26;Laura.Wenger@example.com
Huber;Julia;Rosenweg 55;8050;Chur;0448030590;0797923742;1989-06-23;Julia.Huber@web.de
Keller;Thomas;Poststrasse 27;7000;Zürich;0441584559;0796530765;1984-02-08;Thomas.Keller@web.de
Lehmann;Nina;Talstrasse 20;5000;Uster;0448374138;0798159871;1951-03-24;Nina.Lehmann@web.de
Müller;Anna;Talstrasse 37;8001;Winterthur;0448591306;0797526210;1992-01-24;Anna.Müller@example.com
Wenger;Daniel;Lindenweg 59;6003;Baden;0444747021;0798830298;1950-12-14;Daniel.Wenger@gmail.com
Huber;Lukas;Birkenweg 70;9400;Chur;0441584559;0792316000;1974-03-04;Lukas.Huber@gmail.com
Marti;Anna;Dorfstrasse 56;9050;Chur;0443005327;0797765114;1970-03-08;Anna.Marti@gmail.com
Fischer;Markus;Alpenblick 78;9300;Luzern;0442376115;0793472043;1950-08-19;Markus.Fischer@example.com
Fischer;Lena;Birkenweg 52;4001;Bern;0442322425;0791668239;1986-02-07;Lena.Fischer@web.de
Roth;Sophie;Weidstrasse 59;8002;Sitten;0446438065;0794688034;1961-05-13;Sophie.Roth@web.de
Bachmann;Nina;Brunnenstrasse 57;4001;Freiburg;0443005313;0799535881;1986-02-06;Nina.Bachmann@yahoo.com
Roth;Lena;Lindenweg 84;6300;Freiburg;0442187777;0794646901;1960-05-13;Lena.Roth@web.de
Marti;Daniel;Talstrasse 79;4001;Solothurn;0441651055;0791668239;1958-05-30;Daniel.Marti@example.com
Brunner;Max;Rosenweg 35;5000;Lausanne;0445104583;0798159871;1978-12-31;Max.Brunner@gmail.com
Wenger;Michaela;Poststrasse 61;7000;Luzern;0447604237;0794957977;1966-08-03;Michaela.Wenger@mail.com
Weber;Simon;Poststrasse 39;9400;Zug;0441353442;0793739668;1960-09-25;Simon.Weber@mail.com
Lehmann;Thomas;Seestrasse 23;9000;Zug;0447704715;0796209489;1975-02-02;Thomas.Lehmann@yahoo.com
Zürcher;Michaela;Lindenweg 82;6003;Genf;0444853797;0796209489;1970-05-07;Michaela.Zürcher@yahoo.com
Lehmann;Anna;Birkenweg 98;9100;Thun;0446681362;0792316000;1985-04-25;Anna.Lehmann@example.com
Schmid;Lena;Sonnenweg 9;8400;Chur;0442172365;0791954558;1978-03-07;Lena.Schmid@web.de
Lehmann;Sandra;Poststrasse 27;9200;Sitten;0442172365;0791129673;1969-06-24;Sandra.Lehmann@web.de
Sutter;Kevin;Alpenblick 39;4001;Zug;0442217112;0798696155;1979-09-07;Kevin.Sutter@gmail.com
Baumann;Nina;Lindenweg 71;9050;Zug;0441584559;0792680798;1969-01-27;Nina.Baumann@yahoo.com
Brunner;Michaela;Hauptstrasse 14;9000;Baden;0446079100;0793954902;1993-06-14;Michaela.Brunner@example.com
Roth;Sandra;Feldstrasse 15;8304;Luzern;0442302770;0797978535;1968-08-31;Sandra.Roth@example.com
Marti;Thomas;Sonnenweg 78;1000;Solothurn;0449689685;0791556601;1963-03-25;Thomas.Marti@yahoo.com
Wenger;Nina;Feldstrasse 78;8002;Biel;0442144055;0792680798;1980-05-18;Nina.Wenger@gmail.com
Fischer;Kevin;Ringstrasse 72;9200;Winterthur;0443804554;0797978535;1955-09-12;Kevin.Fischer@yahoo.com
Roth;Michaela;Ringstrasse 99;9050;Thun;0447604237;0795668668;1996-05-10;Michaela.Roth@mail.com
Steiner;Thomas;Birkenweg 99;8002;Lugano;0448145853;0793472043;1975-07-30;Thomas.Steiner@gmail.com
Weber;David;Feldstrasse 35;8304;Basel;0444633613;0799473499;1971-04-26;David.Weber@mail.com
Roth;Maria;Sonnenweg 78;7000;Zug;0446958130;0796649602;1950-12-24;Maria.Roth@gmail.com
Bachmann;Kevin;Birkenweg 41;9001;Freiburg;0444747021;0799535881;1992-11-24;Kevin.Bachmann@yahoo.com
Brunner;Anna;Bahnhofstrasse 57;8050;Freiburg;0447633856;0796087818;2000-02-26;Anna.Brunner@gmail.com
Steiner;Sophie;Bahnhofstrasse 63;6300;Sitten;0444633613;0796512196;1960-01-22;Sophie.Steiner@yahoo.com
Maurer;Nina;Birkenweg 55;8002;Freiburg;0448670314;0792655207;1973-04-11;Nina.Maurer@mail.com
Lehmann;Markus;Sonnenweg 6;1000;Thun;0442976598;0798696155;1968-06-30;Markus.Lehmann@gmail.com
Sutter;Kevin;Talstrasse 38;9400;Schaffhausen;0445781828;0793741172;1954-08-11;Kevin.Sutter@yahoo.com
Gerber;Lena;Gartenweg 78;9200;Zürich;0444295640;0795114420;1956-08-04;Lena.Gerber@gmail.com
Zürcher;Katja;Talstrasse 62;9100;Lausanne;0446677010;0792680798;1969-12-02;Katja.Zürcher@mail.com
Meier;David;Seestrasse 28;9200;St. Gallen;0449153006;0793711365;1974-06-06;David.Meier@yahoo.com
Steiner;Anna;Hauptstrasse 44;9300;Freiburg;0445259121;0794286787;1953-09-13;Anna.Steiner@yahoo.com
Baumann;Laura;Bergstrasse 66;9100;Chur;0449833678;0796131401;1981-09-01;Laura.Baumann@mail.com
Kunz;David;Lindenweg 55;9300;Sitten;0446958130;0792680798;1969-06-16;David.Kunz@gmail.com
Wenger;Thomas;Birkenweg 14;8001;Freiburg;0442976598;0794957977;1976-10-08;Thomas.Wenger@gmail.com
Baumann;Simon;Alpenblick 46;5000;Lugano;0448374138;0796131401;1989-03-23;Simon.Baumann@web.de
Schmid;David;Sonnenweg 35;8400;Zürich;0442994435;0793840613;1953-07-11;David.Schmid@yahoo.com
Bachmann;Felix;Alpenblick 53;5000;Sitten;0445735778;0793472043;1987-01-31;Felix.Bachmann@gmail.com
Steiner;Lukas;Seestrasse 82;8400;Luzern;0442118266;0793954902;1985-01-14;Lukas.Steiner@yahoo.com
Meier;David;Bergstrasse 62;8400;Winterthur;0441578655;0795980038;1979-10-12;David.Meier@yahoo.com
Huber;Markus;Poststrasse 44;8002;Bern;0444295640;0798740150;1985-10-14;Markus.Huber@example.com
Zürcher;Lena;Wiesenweg 79;8001;Neuenburg;0443824648;0795668668;1968-02-12;Lena.Zürcher@yahoo.com
Sutter;Laura;Wiesenweg 69;9050;Winterthur;0447965858;0793397566;1977-11-15;Laura.Sutter@gmail.com
Fischer;Markus;Bergstrasse 85;9300;Uster;0448234304;0798041878;1988-03-18;Markus.Fischer@web.de
Gerber;Sandra;Brunnenstrasse 94;9300;Lausanne;0442376115;0792169562;1973-03-06;Sandra.Gerber@gmail.com
Lehmann;Kevin;Dorfstrasse 7;7000;Solothurn;0448590960;0793741172;1978-09-01;Kevin.Lehmann@web.de
Sutter;Nina;Lindenweg 7;9300;Basel;0445259121;0799516577;1968-11-30;Nina.Sutter@example.com
Zürcher;Maria;Weidstrasse 83;5000;Chur;0443352937;0794957977;1962-03-28;Maria.Zürcher@yahoo.com
Roth;Lukas;Weidstrasse 26;9400;Chur;0441025317;0792225391;1968-02-13;Lukas.Roth@yahoo.com
Weber;Maria;Hauptstrasse 35;9001;Sitten;0442217112;0796112895;1959-05-26;Maria.Weber@gmail.com
Zürcher;Laura;Ringstrasse 87;6003;Zug;0444727326;0794686845;1969-03-04;Laura.Zürcher@gmail.com
Keller;Maria;Tannenweg 3;4001;Lausanne;0449153006;0792680798;1969-11-19;Maria.Keller@gmail.com
Schmid;Laura;Hauptstrasse 61;1000;St. Gallen;0449923823;0794957977;1973-05-30;Laura.Schmid@mail.com
Baumann;David;Weidstrasse 26;7000;Solothurn;0449188966;0791556601;1999-04-05;David.Baumann@example.com
Schmid;Maria;Gartenweg 39;8500;Lausanne;0442976598;0798830298;1973-08-12;Maria.Schmid@yahoo.com
Fischer;Laura;Ringstrasse 37;4001;Bern;0445519479;0791556601;1980-04-23;Laura.Fischer@yahoo.com
Fischer;Maria;Wiesenweg 91;3000;Luzern;0442322425;0798027573;1975-05-19;Maria.Fischer@yahoo.com
Gerber;Katja;Feldstrasse 43;9000;Bern;0443824648;0797923742;1967-09-03;Katja.Gerber@example.com
Sutter;Michaela;Lindenweg 3;9300;Winterthur;0442441713;0792915444;1950-03-16;Michaela.Sutter@mail.com
Bachmann;Julia;Feldstrasse 85;9300;Baden;0443403090;0791556601;1997-05-31;Julia.Bachmann@gmail.com
Bachmann;Simon;Feldstrasse 39;9000;Zug;0443005327;0794686845;1986-11-01;Simon.Bachmann@gmail.com
Baumann;Laura;Bergstrasse 4;8500;Winterthur;0446677010;0791826680;1997-01-26;Laura.Baumann@web.de
Fischer;Laura;Tannenweg 30;9400;Schaffhausen;0445519479;0798369565;1998-09-19;Laura.Fischer@web.de
Müller;David;Birkenweg 81;8500;Biel;0445259121;0797670330;1969-08-11;David.Müller@example.com
Maurer;Simon;Brunnenstrasse 37;7000;Solothurn;0444853797;0791731551;1984-11-24;Simon.Maurer@yahoo.com
Weber;Julia;Bahnhofstrasse 78;7000;Winterthur;0449429709;0794286787;1993-04-17;Julia.Weber@example.com
Zürcher;Sophie;Talstrasse 25;1000;Bern;0448670314;0795597697;1979-12-07;Sophie.Zürcher@gmail.com
Zürcher;Kevin;Wiesenweg 8;8400;Sitten;0449429709;0799516577;1984-12-31;Kevin.Zürcher@mail.com
Baumann;David;Sonnenweg 68;9050;Solothurn;0446438065;0798551915;1955-08-09;David.Baumann@example.com
Lehmann;Daniel;Brunnenstrasse 28;8002;Luzern;0448094381;0795114420;1966-05-15;Daniel.Lehmann@mail.com
Kunz;Laura;Bahnhofstrasse 49;8001;St. Gallen;0441277545;0796785158;1997-03-11;Laura.Kunz@mail.com
Weber;Max;Weidstrasse 55;9000;Genf;0447043886;0799473499;1951-09-07;Max.Weber@web.de
Maurer;Laura;Feldstrasse 11;9000;Lausanne;0448590960;0798369565;1975-01-23;Laura.Maurer@mail.com
Zürcher;Julia;Rosenweg 51;4001;Chur;0443414722;0793472043;1971-04-03;Julia.Zürcher@gmail.com
Weber;Felix;Gartenweg 77;8050;Baden;0448033486;0794012905;1965-03-07;Felix.Weber@mail.com
Weber;Julia;Brunnenstrasse 71;5000;Neuenburg;0447043886;0798551915;1988-07-10;Julia.Weber@yahoo.com
Weber;Michaela;Tannenweg 71;8304;Basel;0441849975;0795354193;1959-06-09;Michaela.Weber@yahoo.com
Fischer;Laura;Sonnenweg 97;4001;Lugano;0448033486;0793269976;1950-11-26;Laura.Fischer@web.de
Huber;Maria;Dorfstrasse 79;7000;Chur;0449800670;0798159871;1997-12-11;Maria.Huber@mail.com
Huber;Felix;Poststrasse 28;6003;Bern;0442187777;0794286787;1970-11-06;Felix.Huber@gmail.com
Kunz;Anna;Gartenweg 87;9000;Schaffhausen;0442321054;0796616369;1999-07-23;Anna.Kunz@example.com
Steiner;Kevin;Bergstrasse 78;8001;Winterthur;0446062912;0793478279;1972-03-26;Kevin.Steiner@mail.com
Steiner;Julia;Lindenweg 58;7000;Bern;0449923823;0797923742;1991-08-19;Julia.Steiner@mail.com
Müller;Sandra;Seestrasse 28;9100;Zürich;0442994435;0796112895;1987-11-14;Sandra.Müller@yahoo.com
Zürcher;Sophie;Talstrasse 49;9400;Zug;0442217112;0792181625;1951-12-07;Sophie.Zürcher@mail.com
Keller;Katja;Ringstrasse 24;7000;St. Gallen;0443005327;0795781113;1985-03-02;Katja.Keller@web.de
Wenger;Thomas;Rosenweg 12;3000;Basel;0448670314;0799236745;1976-09-18;Thomas.Wenger@example.com
Keller;David;Seestrasse 49;1000;Freiburg;0444633613;0795668668;1950-08-31;David.Keller@web.de
Huber;Markus;Feldstrasse 9;8002;Biel;0445768979;0794552384;1983-06-24;Markus.Huber@gmail.com
Kunz;Markus;Ringstrasse 29;9100;Luzern;0447704715;0797977495;1997-04-29;Markus.Kunz@gmail.com
Brunner;Kevin;Feldstrasse 97;7000;Lugano;0442801142;0797978535;1998-01-01;Kevin.Brunner@yahoo.com
Wenger;Simon;Brunnenstrasse 64;9050;Neuenburg;0446079100;0799236745;1980-09-26;Simon.Wenger@web.de
Brunner;Anna;Brunnenstrasse 95;9400;Neuenburg;0444853797;0797346559;1963-05-23;Anna.Brunner@example.com
Kunz;Simon;Alpenblick 16;9400;Zug;0442172365;0799536333;1985-06-17;Simon.Kunz@mail.com
Steiner;Lukas;Ringstrasse 39;9000;Zug;0446062912;0796209489;1995-07-08;Lukas.Steiner@web.de
Huber;Thomas;Sonnenweg 30;7000;Luzern;0446424159;0797977495;1960-10-09;Thomas.Huber@example.com
Steiner;Lena;Seestrasse 73;9200;Thun;0441578655;0797540509;1993-07-11;Lena.Steiner@gmail.com
Baumann;Anna;Feldstrasse 61;9400;Schaffhausen;0447434931;0797540509;1998-09-26;Anna.Baumann@example.com
Brunner;Kevin;Weidstrasse 62;9200;Luzern;0446533396;0795109693;1956-09-05;Kevin.Brunner@web.de
Bachmann;Laura;Schulstrasse 57;9300;Winterthur;0445104583;0793954902;1977-08-31;Laura.Bachmann@web.de
Lehmann;Sandra;Tannenweg 3;8002;Biel;0449800670;0799644823;1997-05-08;Sandra.Lehmann@gmail.com
Marti;Michaela;Birkenweg 38;1000;Biel;0442265256;0791826680;1968-06-01;Michaela.Marti@yahoo.com
Sutter;Julia;Weidstrasse 71;9001;Zürich;0445768979;0791129673;1955-07-29;Julia.Sutter@yahoo.com
Fischer;Felix;Brunnenstrasse 56;7000;Zug;0445104583;0798166505;1980-09-15;Felix.Fischer@mail.com
Wenger;Anna;Ringstrasse 21;5000;Freiburg;0445198625;0799536333;1956-06-19;Anna.Wenger@example.com
Roth;Kevin;Lindenweg 67;8400;Zug;0449429709;0791954558;1957-04-12;Kevin.Roth@web.de
Brunner;Katja;Talstrasse 36;5000;Solothurn;0443403090;0793840613;1956-08-25;Katja.Brunner@yahoo.com
Müller;Maria;Alpenblick 65;4001;Schaffhausen;0444727326;0796087818;1988-03-28;Maria.Müller@web.de
Bachmann;Nina;Dorfstrasse 75;9000;Sitten;0441814027;0798369565;1962-02-04;Nina.Bachmann@mail.com
Roth;Lukas;Talstrasse 24;7000;Thun;0444853797;0797526210;1988-03-25;Lukas.Roth@example.com
Müller;Nina;Feldstrasse 13;8500;Lausanne;0444295640;0793269976;1989-01-11;Nina.Müller@example.com
Baumann;Lena;Bergstrasse 99;1000;Freiburg;0449789370;0798369565;1991-07-21;Lena.Baumann@yahoo.com
Brunner;Thomas;Weidstrasse 15;9001;Basel;0441849975;0799535881;1969-12-16;Thomas.Brunner@example.com
Kunz;Sophie;Tannenweg 30;1000;Zug;0442187777;0793739668;1967-10-10;Sophie.Kunz@yahoo.com
Maurer;Lena;Seestrasse 76;9400;Chur;0441651055;0795114420;1952-12-25;Lena.Maurer@mail.com
Kunz;Sophie;Poststrasse 11;9050;Biel;0445192456;0797670330;1998-01-08;Sophie.Kunz@web.de
Meier;Kevin;Weidstrasse 69;4001;Freiburg;0447633856;0795354193;1952-06-22;Kevin.Meier@mail.com
Lehmann;Sandra;Bergstrasse 30;8001;Neuenburg;0442744320;0792169562;1967-07-11;Sandra.Lehmann@mail.com
Sutter;Katja;Wiesenweg 78;9050;Winterthur;0448590960;0795980038;1968-04-22;Katja.Sutter@web.de
Maurer;Lukas;Gartenweg 22;5000;Bern;0447965858;0796087818;1989-07-23;Lukas.Maurer@gmail.com
Zürcher;Laura;Talstrasse 13;8001;St. Gallen;0441814027;0792316000;1974-08-07;Laura.Zürcher@yahoo.com
Fischer;Max;Rosenweg 58;6003;Baden;0447434931;0792655207;1994-03-09;Max.Fischer@web.de
Huber;Sophie;Alpenblick 24;5000;Zug;0443669973;0794012905;1995-04-03;Sophie.Huber@web.de
Weber;Laura;Gartenweg 42;6300;Chur;0446062912;0796209489;1951-08-21;Laura.Weber@web.de
Baumann;Laura;Poststrasse 52;3000;Sitten;0446792481;0798696155;1975-10-19;Laura.Baumann@yahoo.com
Keller;Sandra;Gartenweg 26;8001;Zug;0447252363;0798369565;1961-09-10;Sandra.Keller@gmail.com
Brunner;Laura;Gartenweg 18;4001;Genf;0448982813;0792225391;1967-02-11;Laura.Brunner@example.com
Zürcher;Kevin;Poststrasse 68;7000;Biel;0449188966;0798369565;1983-05-30;Kevin.Zürcher@yahoo.com
Marti;Daniel;Brunnenstrasse 61;1000;Freiburg;0443804554;0796786311;1957-01-23;Daniel.Marti@yahoo.com
Gerber;Julia;Feldstrasse 41;9200;Thun;0444648586;0792225391;1980-06-19;Julia.Gerber@yahoo.com
Maurer;Lukas;Seestrasse 39;8001;Chur;0443005327;0791731551;1953-12-19;Lukas.Maurer@example.com
Meier;Felix;Feldstrasse 31;5000;Winterthur;0446677010;0799535881;1976-02-15;Felix.Meier@web.de
Marti;Thomas;Birkenweg 49;6300;Lausanne;0446438065;0793475351;1968-02-15;Thomas.Marti@gmail.com
Steiner;Lena;Poststrasse 17;8001;Freiburg;0441353442;0798166505;1968-06-18;Lena.Steiner@example.com
Marti;Lukas;Wiesenweg 1;9400;Solothurn;0449188966;0798041878;1992-03-19;Lukas.Marti@yahoo.com
Baumann;Laura;Lindenweg 62;6300;Biel;0442302770;0794552384;1978-11-01;Laura.Baumann@yahoo.com
Keller;Katja;Poststrasse 60;9400;Sitten;0446807371;0798027573;1950-11-06;Katja.Keller@web.de
Zürcher;Felix;Alpenblick 79;8002;Baden;0448537374;0792680798;1974-12-29;Felix.Zürcher@gmail.com
